駐車	ちゅうしゃ(parking)
故〇〇	こ〇〇(the late ___)
故障	こしょう(breakdown / failure)
伝言	でんごん(message)
伝える	つたえる(convey / tell)
手伝う	てつだう(help / assist)
黄色	きいろ(yellow color)
黄色い	きいろい(yellow)
絵画	かいが(painting)
絵	え(picture / drawing)
絵本	えほん(picture book)
～組	～くみ(group/class number ___)
組む	くむ(put together / pair up)
番組	ばんぐみ(TV/radio program)
組み立てる	くみたてる(assemble / put together)
約束	やくそく(promise / appointment)
～束	～たば(bundle of ___)
花束	はなたば(bouquet)
授業	じゅぎょう(class / lesson)
教授	きょうじゅ(professor)
渡る	わたる(cross over)
渡す	わたす(hand over / pass)
昔	むかし(long ago / the past)
必要な	ひつような(necessary)
要る	いる(need)
重要な	じゅうような(important)
冷房	れいぼう(air conditioning)
冷やす	ひやす(cool / chill)
冷める	さめる(become cool)
冷たい	つめたい(cold to the touch)
冷える	ひえる(get cold)
冷ます	さます(cool something down)
冷蔵庫	れいぞうこ(refrigerator)
冷凍庫	れいとうこ(freezer)
凍る	こおる(freeze)
金庫	きんこ(safe / strongbox)
車庫	しゃこ(garage)
召し上がる	めしあがる(eat/drink (honorific))
保存する	ほぞんする(preserve / save / store)
ご存じです	ごぞんじです(know (honorific))
存じません	ぞんじません(do not know (humble))
必要な	ひつような(necessary)
必ず	かならず(always / without fail)
必死に	ひっしに(desperately)
費用	ひよう(cost / expense)
旅費	りょひ(travel expenses)
消費者	しょうひしゃ(consumer)
会費	かいひ(membership fee)
期間	きかん(period of time)
長期	ちょうき(long term)
定期券	ていきけん(commuter pass)
短期	たんき(short term)
期限	きげん(deadline / time limit)
限る	かぎる(limit)
限度	げんど(limit)
限定	げんてい(limited)
〇〇製	〇〇せい(made in/of/by ___)
製品	せいひん(product)
製造	せいぞう(manufacture)
造る	つくる(make / build)
賞	しょう(prize / award)
賞金	しょうきん(prize money)
賞味期限	しょうみきげん(best-before date)
賞品	しょうひん(prize item)
方法	ほうほう(method / way)
文法	ぶんぽう(grammar)
温度	おんど(temperature)
温かい	あたたかい(warm)
気温	きおん(air temperature)
常温	じょうおん(room temperature)
販売	はんばい(sales / selling)
自動販売機	じどうはんばいき(vending machine)
飛行機	ひこうき(airplane)
機会	きかい(opportunity)
機械	きかい(machine)
増加	ぞうか(increase)
増える	ふえる(increase / grow)
増やす	ふやす(increase / add)
減少	げんしょう(decrease)
減る	へる(decrease)
減らす	へらす(reduce / decrease)
量	りょう(quantity / amount)
増量	ぞうりょう(increase in quantity)
数量	すうりょう(quantity)
減量	げんりょう(weight reduction / quantity reduction)
氷	こおり(ice)
返事	へんじ(reply)
返す	かえす(return / give back)
返却	へんきゃく(return / return of borrowed item)
お湯	おゆ(hot water)
材料	ざいりょう(ingredients / materials)
教材	きょうざい(teaching materials)
卵	たまご(egg)
卵焼き	たまごやき(Japanese omelet / rolled egg)
牛乳	ぎゅうにゅう(milk)
粉	こな(powder / flour)
小麦粉	こむぎこ(wheat flour)
袋	ふくろ(bag)
ごみ袋	ごみぶくろ(garbage bag)
足袋	たび(tabi socks)
紙袋	かみぶくろ(paper bag)
手袋	てぶくろ(gloves)
混雑	こんざつ(congestion / crowding)
混ぜる	まぜる(mix)
焼く	やく(roast / grill / bake)
焼ける	やける(be burned / be cooked)
表	ひょう(table / chart)
発表	はっぴょう(presentation / announcement)
表	おもて(front / surface)
表面	ひょうめん(surface)
代表	だいひょう(representative)
表す	あらわす(express / show)
裏	うら(back / reverse side)
裏返す	うらがえす(turn over / reverse)
留学	りゅうがく(study abroad)
保留	ほりゅう(reservation / hold)
留守番	るすばん(house-sitting / staying home)
書留	かきとめ(registered mail)
守備	しゅび(defense)
守る	まもる(protect / obey)
留守	るす(absence / not at home)
濃い	こい(concentrated / dark / strong)
薄い	うすい(thin / light / weak)
部分	ぶぶん(part / portion)
部長	ぶちょう(department head / manager)
学部	がくぶ(faculty / department)
部屋	へや(room)
数字	すうじ(number / numeral)
数	かず(number)
数学	すうがく(mathematics)
数える	かぞえる(count)
件名	けんめい(subject line)
用件	ようけん(business / matter)
事件	じけん(incident / case)
再入国	さいにゅうこく(re-entry)
再生	さいせい(playback / regeneration)
再ダイヤル	さいダイヤル(redial)
再来週	さらいしゅう(the week after next)
接続	せつぞく(connection)
面接	めんせつ(interview)
接続	せつぞく(connection)
続く	つづく(continue / last)
続ける	つづける(continue something)
表示	ひょうじ(indication / display)
示す	しめす(show / indicate)
指示	しじ(direction / instruction)
戻る	もどる(return / go back)
戻す	もどす(return something / put back)
完了	かんりょう(completion)
完全な	かんぜんな(perfect / complete)
了解	りょうかい(understanding / agreement)
終了	しゅうりょう(end / finish)
登録	とうろく(registration)
登る	のぼる(climb)
登山	とざん(mountain climbing)
記録	きろく(record)
録音	ろくおん(sound recording)
録画	ろくが(video recording)
教育	きょういく(education)
育てる	そだてる(raise / bring up)
育つ	そだつ(grow up)
種類	しゅるい(type / kind)
種	たね(seed)
書類	しょるい(documents)
分類	ぶんるい(classification)
人類	じんるい(humankind)
教師	きょうし(teacher)
看護師	かんごし(nurse)
医師	いし(doctor)
夫妻	ふさい(husband and wife / married couple)
妻	つま(wife)
馬	うま(horse)
乗馬	じょうば(horseback riding)
石けん	せっけん(soap)
石	いし(stone)
石油	せきゆ(petroleum / oil)
砂糖	さとう(sugar)
砂	すな(sand)
食塩	しょくえん(table salt)
塩	しお(salt)
しょう油	しょうゆ(soy sauce)
灯油	とうゆ(kerosene)
石油	せきゆ(petroleum / oil)
油	あぶら(oil)
緑茶	りょくちゃ(green tea)
緑色	みどりいろ(green color)
紅茶	こうちゃ(black tea)
口紅	くちべに(lipstick)
～冊	～さつ(counter for books)
冊数	さっすう(number of copies/books)
～個	～こ(counter for objects)
個人	こじん(individual / one person)
個数	こすう(number of items)
団体	だんたい(group / organization)
～枚	～まい(counter for flat objects)
枚数	まいすう(number of sheets/copies)
広告	こうこく(advertisement)
便利な	べんりな(convenient)
利用	りよう(use / utilization)
割る	わる(divide / break)
割れる	われる(break / split)
割合	わりあい(ratio / percentage)
割引	わりびき(discount)
～倍	～ばい(___ times)
倍	ばい(times / multiple)
値段	ねだん(price)
値上げ	ねあげ(price increase)
値下げ	ねさげ(price reduction)
商品	しょうひん(product / goods)
商店	しょうてん(shop / store)
支店	してん(branch office/store)
支社	ししゃ(branch company)
本店	ほんてん(main store)
本社	ほんしゃ(head office)
払う	はらう(pay)
支払い	しはらい(payment)
米国	べいこく(United States of America)
米	こめ(rice)
高級	こうきゅう(high class / luxury)
上級	じょうきゅう(advanced level)
中級	ちゅうきゅう(intermediate level)
残業	ざんぎょう(overtime work)
残る	のこる(remain / be left)
残り	のこり(remainder)
残す	のこす(leave behind)
大型	おおがた(large-sized)
新型	しんがた(new model)
小型	こがた(small-sized)
消費税	しょうひぜい(consumption tax)
税金	ぜいきん(tax)
込む	こむ(be crowded / go into)
振り込む	ふりこむ(transfer money)
税込	ぜいこみ(tax included)
価格	かかく(price)
定価	ていか(fixed/list price)
合格	ごうかく(pass an exam)
格安	かくやす(bargain / cheap)
申し込む	もうしこむ(apply / sign up)
申告	しんこく(declaration / report)
申す	もうす(say (humble))
申込書	もうしこみしょ(application form)
申請	しんせい(application)
申し上げる	もうしあげる(say / tell (humble))
記入	きにゅう(entry / filling in)
記号	きごう(symbol)
日記	にっき(diary)
記事	きじ(article)
例	れい(example)
例えば	たとえば(for example)
年齢	ねんれい(age)
高齢	こうれい(old age / elderly)
～歳	～さい(___ years old)
二十歳	はたち(20 years old)
性別	せいべつ(sex / gender)
女性	じょせい(woman / female)
性格	せいかく(personality / character)
男性	だんせい(man / male)
連休	れんきゅう(consecutive holidays)
連れて行く	つれていく(take someone to)
連れて来る	つれてくる(bring someone)
連絡	れんらく(contact / communication)
届ける	とどける(deliver)
届く	とどく(arrive / be delivered)
自宅	じたく(one's home)
宅配	たくはい(home delivery)
お宅	おたく(your home / someone's house (polite))
配達	はいたつ(delivery)
心配	しんぱい(worry / concern)
配送料	はいそうりょう(delivery fee / shipping charge)
配る	くばる(distribute / deliver)
希望	きぼう(hope / wish)
失望	しつぼう(disappointment / despair)
望む	のぞむ(hope for / wish)
入荷	にゅうか(arrival of goods)
荷物	にもつ(luggage / package)
出荷	しゅっか(shipment)
手荷物	てにもつ(hand luggage)
交換	こうかん(exchange)
乗り換え	のりかえ(transfer)
代金引換	だいきんひきかえ(cash on delivery)
代引き	だいびき(cash on delivery)
金額	きんがく(amount of money)
半額	はんがく(half price)
不在	ふざい(absence / not at home)
現在	げんざい(present / current time)
取る	とる(take)
受け取る	うけとる(receive)
受取人	うけとりにん(recipient)
預金	よきん(deposit / savings)
預ける	あずける(deposit / leave with someone)
衣類	いるい(clothing)
衣服	いふく(clothes)
参加	さんか(participation)
参る	まいる(go/come (humble))
参考書	さんこうしょ(reference book)
上達	じょうたつ(improvement / progress)
友達	ともだち(friend)
速達	そくたつ(express mail / special delivery)
通勤	つうきん(commuting to work)
勤める	つとめる(work for / be employed at)
携帯電話	けいたいでんわ(mobile phone)
帯	おび(belt / sash)
時間帯	じかんたい(time slot / time zone)
細い	ほそい(thin / fine)
細かい	こまかい(small / detailed)
戸	と(door)
戸だな	とだな(cupboard)
雨戸	あまど(sliding storm door / shutters)
びわ湖	びわこ(Lake Biwa)
湖	みずうみ(lake)
風船	ふうせん(balloon)
船	ふね(boat / ship)
船長	せんちょう(captain)
船便	ふなびん(surface mail / shipping by boat)
角度	かくど(angle)
四角い	しかくい(square)
三角形	さんかくけい(triangle)
角	かど(corner)
夫妻	ふさい(husband and wife)
夫婦	ふうふ(married couple)
夫	おっと(husband)
苦労	くろう(hardship / trouble)
苦い	にがい(bitter)
苦しい	くるしい(painful / difficult)
苦手な	にがてな(weak at / not good at)
お礼	おれい(thanks / gratitude)
伺う	うかがう(visit / ask (humble))
遅刻	ちこく(tardiness / being late)
遅い	おそい(slow / late)
遅れる	おくれる(be late / fall behind)
失礼な	しつれいな(rude / impolite)
失敗	しっぱい(failure / mistake)
失礼する	しつれいする(excuse oneself / be rude)
汗	あせ(sweat)
汗をかく	あせをかく(sweat)
残念な	ざんねんな(regrettable / disappointing)
記念	きねん(commemoration / memory)
涙	なみだ(tears)
涙を流す	なみだをながす(shed tears)
笑う	わらう(laugh / smile)
笑顔	えがお(smiling face / smile)
笑い	わらい(laughter / smile)
調子	ちょうし(condition / state)
調べる	しらべる(look up / investigate)
強調	きょうちょう(emphasis / stress)
調査	ちょうさ(investigation / survey)
移動	いどう(movement / transfer)
移る	うつる(move / shift)
移す	うつす(move / transfer something)
困難な	こんなんな(difficult / hardship)
難しい	むずかしい(difficult)
難問	なんもん(difficult problem)
簡単な	かんたんな(easy / simple)
単語	たんご(word / vocabulary)
単位	たんい(unit / credit)
感じる	かんじる(feel)
感動	かんどう(inspiration / being moved)
感想	かんそう(impression / thoughts)
予想	よそう(expectation / forecast)
練習	れんしゅう(practice)
最近	さいきん(recently)
最後	さいご(last / end)
最初	さいしょ(first / beginning)
最も	もっとも(the most)
適当な	てきとうな(suitable / appropriate)
快適な	かいてきな(comfortable / pleasant)
選挙	せんきょ(election)
選ぶ	えらぶ(choose)
選手	せんしゅ(player / athlete)
違う	ちがう(different / wrong)
間違い	まちがい(mistake)
間違う	まちがう(make a mistake)
間違える	まちがえる(make a mistake / confuse)
直線	ちょくせん(straight line)
直る	なおる(be repaired / get better)
直接	ちょくせつ(direct / directly)
直す	なおす(fix / correct)
復習	ふくしゅう(review)
回復	かいふく(recovery)
往復	おうふく(round trip)
辞書	じしょ(dictionary)
辞める	やめる(resign / quit)
宿題	しゅくだい(homework)
宿	やど(inn / lodging)
下宿	げしゅく(lodging / boarding house)
昨日	さくじつ(yesterday)
昨日	きのう(yesterday)
昨夜	さくや(last night)
昨年	さくねん(last year)
〇〇君	〇〇くん(___-kun)
君	きみ(you (informal))
結構な	けっこうな(splendid / nice / sufficient)
結局	けっきょく(after all / finally)
いいえ、結構です	いいえ、けっこうです(No, thank you)
結ぶ	むすぶ(tie / connect)
結婚	けっこん(marriage)
婚約	こんやく(engagement)
新婚旅行	しんこんりょこう(honeymoon)
祝日	しゅくじつ(national holiday)
祝う	いわう(celebrate)
お祝い	おいわい(celebration / congratulations)
曲	きょく(song / tune)
曲がる	まがる(turn / bend)
曲線	きょくせん(curve)
曲げる	まげる(bend)
奥さん	おくさん(wife / married woman)
奥	おく(inner part / back)
寝る	ねる(sleep / go to bed)
昼寝	ひるね(nap)
寝坊	ねぼう(oversleeping / late riser)
頭痛	ずつう(headache)
痛い	いたい(painful / hurt)
腹痛	ふくつう(stomachache)
熱	ねつ(heat / fever)
熱い	あつい(hot)
熱心な	ねっしんな(enthusiastic / zealous)
虫	むし(insect / bug)
歯科	しか(dentistry / dental department)
歯医者	はいしゃ(dentist)
歯	は(tooth / teeth)
虫歯	むしば(decayed tooth / cavity)
政治	せいじ(politics)
治る	なおる(be cured / heal)
治療	ちりょう(treatment)
治す	なおす(cure / fix)
汚い	きたない(dirty)
汚れる	よごれる(get dirty)
並ぶ	ならぶ(line up / stand in a row)
歯並び	はならび(tooth alignment)
並べる	ならべる(line up / arrange)
他の	たの(other)
その他	そのた(the others / etc.)
身長	しんちょう(height)
身分	みぶん(social status / identity)
独身	どくしん(single / unmarried)
刺身	さしみ(sashimi)
日本酒	にほんしゅ(sake)
お酒	おさけ(alcohol / sake)
料理酒	りょうりしゅ(cooking sake)
酒屋	さかや(liquor store)
呼吸	こきゅう(breathing / respiration)
吸う	すう(smoke / inhale / suck)
食欲	しょくよく(appetite)
欲しい	ほしい(want)
意欲	いよく(motivation / eagerness)
睡眠	すいみん(sleep)
眠い	ねむい(sleepy)
眠る	ねむる(sleep)
疲れる	つかれる(get tired / be exhausted)
息	いき(breath)
息子	むすこ(son)
息切れ	いきぎれ(shortness of breath)
呼吸	こきゅう(breathing)
呼ぶ	よぶ(call / summon)
厚い	あつい(thick)
泣く	なく(cry / weep)
鳴く	なく(make an animal sound)
鳴る	なる(ring / sound)
最初	さいしょ(first / beginning)
初め	はじめ(beginning)
初級	しょきゅう(beginner level)
初めて	はじめて(for the first time)
宿泊	しゅくはく(lodging / stay overnight)
泊まる	とまる(stay overnight)
泊める	とめる(let someone stay / accommodate)
紅葉	こうよう(autumn leaves)
葉	は(leaf)
言葉	ことば(word / language)
予報	よほう(forecast)
報告	ほうこく(report)
晴れる	はれる(be sunny / clear up)
晴れ	はれ(clear weather / sunshine)
雲	くも(cloud)
吹く	ふく(blow)
暖房	だんぼう(heater / heating)
暖かい	あたたかい(warm)
雪	ゆき(snow)
地震	じしん(earthquake)
震度	しんど(seismic intensity)
電波	でんぱ(electromagnetic wave / radio wave)
波	なみ(wave)
津波	つなみ(tsunami)
要求	ようきゅう(demand / request)
請求書	せいきゅうしょ(bill / invoice)
求人	きゅうじん(help wanted / job opening)
求める	もとめる(seek / request)
募集	ぼしゅう(recruitment)
職場	しょくば(workplace)
転職	てんしょく(change jobs)
職業	しょくぎょう(occupation / profession)
職員	しょくいん(staff member)
美容院	びよういん(beauty salon)
内容	ないよう(contents / substance)
技術	ぎじゅつ(technique / technology)
技術者	ぎじゅつしゃ(engineer / technician)
一般	いっぱん(general / ordinary)
一般に	いっぱんに(in general)
事務	じむ(office work)
事務所	じむしょ(office)
公務員	こうむいん(civil servant)
税務署	ぜいむしょ(tax office)
第1課	だいいっか(Lesson 1)
課長	かちょう(section chief / manager)
地球	ちきゅう(the earth)
電球	でんきゅう(light bulb)
野球	やきゅう(baseball)
決して	けっして(never / by no means)
決める	きめる(decide)
決定	けってい(decision)
決まる	きまる(be decided)
優勝	ゆうしょう(victory / championship)
勝つ	かつ(win)
決勝	けっしょう(final game / finals)
1対2	いちたいに(one to two / 1 vs 2)
反対	はんたい(opposite / opposition)
流れる	ながれる(flow / stream)
流す	ながす(let flow / wash away)
勝負	しょうぶ(match / contest)
負ける	まける(lose)
投手	とうしゅ(pitcher)
投げる	なげる(throw)
結果	けっか(result)
果物	くだもの(fruit)
戦後	せんご(after the war)
戦う	たたかう(fight)
戦争	せんそう(war)
経験	けいけん(experience)
経営	けいえい(management / running a business)
経済	けいざい(economy)
済む	すむ(finish / be settled)
成長	せいちょう(growth)
完成	かんせい(completion)
貿易	ぼうえき(trade)
貿易	ぼうえき(trade)
易しい	やさしい(easy / simple)
輸出	ゆしゅつ(export)
輸送	ゆそう(transport)
輸入	ゆにゅう(import)
相談	そうだん(consultation)
相手	あいて(partner / opponent)
首相	しゅしょう(prime minister)
文化	ぶんか(culture)
化学	かがく(chemistry)
〇〇化	〇〇か(___-ization / becoming ___)
化粧	けしょう(makeup)
比べる	くらべる(compare)
原料	げんりょう(raw material)
原因	げんいん(cause)
国際の	こくさいの(international)
交際	こうさい(association / social relations)
会議	かいぎ(meeting / conference)
議員	ぎいん(assembly member / legislator)
生活	せいかつ(life / livelihood)
活動	かつどう(activity)
大変な	たいへんな(serious / tough)
変わる	かわる(change)
変化	へんか(change)
変える	かえる(change something)
政治	せいじ(politics)
政治家	せいじか(politician)
政府	せいふ(government)
都道府県	とどうふけん(prefectures)
改正	かいせい(amendment / revision)
改める	あらためる(revise / change)
改札口	かいさつぐち(ticket gate)
否定	ひてい(denial / negation)
否定的な	ひていてきな(negative)
国際的な	こくさいてきな(international)
目的	もくてき(purpose / aim)
個人的な	こじんてきな(personal / individual)
実際に	じっさいに(in fact / actually)
実験	じっけん(experiment)
実は	じつは(actually / to tell the truth)
欠点	けってん(weak point / flaw)
欠ける	かける(lack / be missing)
欠席	けっせき(absence)
専門	せんもん(specialty)
専門家	せんもんか(expert / specialist)
死亡	しぼう(death)
亡くなる	なくなる(die / pass away)
多忙な	たぼうな(busy)
忙しい	いそがしい(busy)
忘年会	ぼうねんかい(year-end party)
忘れる	わすれる(forget)
忘れ物	わすれもの(lost property / forgotten item)
文化祭	ぶんかさい(school/cultural festival)
お祭り	おまつり(festival)
苦労	くろう(hardship / trouble)
労働者	ろうどうしゃ(laborer / worker)
参加	さんか(participation)
加える	くわえる(add)
増加	ぞうか(increase)
情報	じょうほう(information)
事情	じじょう(circumstances)
表情	ひょうじょう(facial expression)
感情	かんじょう(emotion / feeling)
反対	はんたい(opposite / opposition)
